Status,Station Name,Observation Date,Latitude,Longitude,Has Media,City,County,State,Characterize Land Use,Site Habitat,Wetland Origin,Water Presence,Water Source,Description,Directions To Site,Start Time,End Time,Was this observation completed in person or by listening to an audio device?,Air Temperature,Wind,Precipitation During Visit,Precipitation in the last 48 hours,The temperature the last 48 hours has been,Species,Call Intensity,Observation Notes
,Chatham Frog Pond Maternity Ward,2026-02-19,41.10054,-81.98086,No,Medina,Medina,Ohio,Rural,Pond,Human-made,Permanent,Precipitation or Runoff,"No fish ever observed here; about 4 feet deep, surrounded on the east by a wet meadow",,09:42 PM,09:45 PM,In person,8.9,,,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Chatham Wet Meadow Maternity Ward,2026-02-19,41.10052,-81.98054,No,Medina,Medina,Ohio,Rural,Wet Meadow,,,Precipitation or Runoff,Also receives some pond overflow,,09:36 PM,09:39 PM,In person,8.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Browns Farm Pond 2,2026-02-19,39.77477,-100.37109,No,Grove City ,Franklin ,Ohio,Suburban,Pond,Human-made,Permanent,Precipitation or Runoff,A retention pond in a housing development ,Darby Dale Rd to bend. ,07:20 PM,07:23 PM,In person,12.8,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,"While I did not observe any frogs, a neighbor said there ""were several frogs"" out earlier in the day. She startled them and they were jumping into the water. This pond was totally thawed. The species previously observed at this site were green and bull frogs. "
,Browns Farm Vernal Pond ,2026-02-19,39.858,-83.0841,No,Grove City ,Franklin ,Ohio,Suburban,Vernal Pool,Artificially Altered,Not Known,Precipitation or Runoff,Runoff from retention pond,McKinney Road to dead end. ,07:13 PM,,In person,12.8,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Browns Farm Pond 1,2026-02-19,39.858,-83.0845,No,Grove City,Franklin ,Ohio,Urban,Pond,Human-made,Permanent,Precipitation or Runoff,A 12-foot deep retention pond in a development. It is not stocked with fish. Waterfowl and frogs and turtles are known presence in this pond. ,McKinney Rd to dead end. ,07:08 PM,07:11 PM,In person,12.8,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,"Pond was iced over, a little melting around edges"
,Tallmadge Meadows Area - Summit Metro Parks,2026-02-19,41.130977,-81.43472,No,Tallmadge,Summit,Ohio,Metro Park,Wet Meadow,Natural,Temporary Every Year,Not Known,Wet Meadow bordered by a Wooded area and a busy roadway,"1088 North Ave., Tallmadge 44278. Follow south path to tree line.",07:04 PM,07:07 PM,In person,11.1,0 - CALM: smoke rises vertically,None,Some Precipitation,Above Freezing,Wood Frog,1 - Individuals can be counted; there is space between calls,
,Tallmadge Meadows Area - Summit Metro Parks,2026-02-17,41.130977,-81.43472,No,Tallmadge,Summit,Ohio,Metro Park,Wet Meadow,Natural,Temporary Every Year,Not Known,Wet Meadow bordered by a Wooded area and a busy roadway,"1088 North Ave., Tallmadge 44278. Follow south path to tree line.",06:53 PM,06:56 PM,In person,8.9,1 - LIGHT AIR: rising smoke drifts; weather vane inactive,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Horseshoe Pond,2026-02-18,41.2343,-81.569362,No,Peninsula,Summit,Ohio,Suburban,Pond,,Permanent,,,,06:38 PM,06:41 PM,In person,11.1,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,Fog or Mist,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Vineyard Pond,2026-02-17,40.96482,-81.6864,No,Doylestown,Wayne,Ohio,Suburban,Pond,Natural,Permanent,Pond,,,07:14 PM,07:17 PM,In person,8.3,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,No Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
,Vineyard Pond,2025-08-28,40.96482,-81.6864,No,Doylestown,Wayne,Ohio,Suburban,Pond,Natural,Permanent,Pond,,,09:02 PM,09:05 PM,In person,8.9,2 - LIGHT BREEZE: leaves rustle; can feel wind on face,None,Some Precipitation,Above Freezing,No Species Heard,0 - No frogs or toads can be heard calling.,
