geoid,name,poptotal,male,mu5,m5to9,m10to14,m15to19,m20to24,m25to29,m30to34,m35to39,m40to44,m45to49,m50to54,m55to59,m60to64,m65to69,m70to74,m75to79,m80to84,mover84,female,fu5,f5to9,f10to14,f15to19,f20to24,f25to29,f30to34,f35to39,f40to44,f45to49,f50to54,f55to59,f60to64,f65to69,f70to74,f75to79,f80to84,fover84,medianage,medianage_m,medianage_f,white,blackoraa,amindianat,asian,nhawopacis,other,r2ormore,Hhmarried,Hhtotal,Hhvac,Hhoccupied,Hhownocc,Hhrentocc
0400000US39,Ohio,11799448,5781618,339683,365311,386493,396939,394293,375753,374525,361621,340513,347791,364875,396851,395234,332762,256835,162242,102474,87423,6017830,326751,348172,369768,380404,386419,373768,376278,366866,344842,353590,373869,416366,423736,366872,298817,205216,144025,162071,39.8,38.6,41.1,9080688,1478781,30720,298509,5034,224344,681372,2128299,5242524,433751,4808773,3145684,1663089
0500000US39001,"Adams County, Ohio",27477,13632,848,861,1056,943,687,757,697,728,789,896,945,957,994,909,683,459,269,154,13845,828,868,931,894,693,756,750,758,797,904,880,994,1061,871,683,516,351,310,42.2,41.4,43,26277,84,78,39,1,79,919,5229,12692,1754,10938,7684,3254
0500000US39003,"Allen County, Ohio",102206,51203,3077,3482,3547,3941,3523,2891,2881,2990,2985,2959,3103,3397,3644,3172,2358,1508,938,807,51003,2905,3102,3363,3423,2970,2852,2970,2934,2963,2832,2895,3553,3688,3220,2619,1803,1305,1606,40.2,38.8,41.6,80753,12573,300,840,53,1450,6237,17911,44563,3628,40935,27373,13562
0500000US39005,"Ashland County, Ohio",52447,25760,1484,1693,1788,1834,1671,1454,1434,1497,1405,1484,1568,1734,1831,1628,1279,912,609,455,26687,1446,1568,1686,1666,1766,1445,1394,1491,1426,1496,1635,1877,1991,1701,1395,1093,765,846,41.5,40.1,42.8,49249,394,114,322,33,285,2050,10672,22471,1771,20700,15445,5255
0500000US39007,"Ashtabula County, Ohio",97574,49180,2777,2931,3249,3106,2722,2835,2813,2799,2849,3047,3308,3729,3774,3325,2464,1682,1007,763,48394,2554,2781,3153,2969,2426,2510,2587,2588,2610,2908,3222,3598,3773,3443,2753,1866,1246,1407,43.6,42.3,45,85486,3606,203,349,18,1659,6253,17473,46237,6908,39329,27914,11415
0500000US39009,"Athens County, Ohio",62431,30834,1380,1284,1433,2977,6454,2264,1685,1605,1499,1449,1518,1608,1597,1447,1193,678,440,323,31597,1237,1277,1383,3496,6434,1943,1589,1581,1444,1408,1532,1682,1669,1620,1277,812,622,591,29.5,29,30.1,54513,2894,247,1223,2,630,2922,8701,26386,2690,23696,12893,10803
0500000US39011,"Auglaize County, Ohio",46422,23058,1460,1519,1625,1582,1311,1333,1348,1320,1318,1391,1435,1635,1757,1468,998,699,462,397,23364,1389,1478,1602,1490,1201,1256,1284,1339,1268,1320,1457,1643,1652,1532,1184,861,619,789,41.3,40.1,42.6,43929,240,86,255,41,271,1600,10113,19873,1271,18602,14059,4543
0500000US39013,"Belmont County, Ohio",66497,34020,1560,1865,1875,1916,1762,2076,2261,2265,2130,2252,2276,2495,2630,2391,1915,1032,707,612,32477,1520,1799,1804,1718,1526,1656,1787,1857,1734,1892,2054,2423,2708,2451,2013,1287,1037,1211,45.2,43.3,47.3,60831,2117,89,266,11,337,2846,12545,31618,4285,27333,20038,7295
0500000US39015,"Brown County, Ohio",43676,21760,1241,1320,1509,1529,1115,1137,1174,1174,1298,1452,1436,1721,1648,1361,1107,695,445,398,21916,1211,1294,1499,1362,1050,1172,1170,1275,1236,1354,1469,1745,1698,1416,1138,813,543,471,43.1,42.5,43.8,41237,304,75,97,5,196,1762,8715,19324,2171,17153,12773,4380
0500000US39017,"Butler County, Ohio",390357,192176,11506,12818,13930,15850,15798,11241,11823,12296,11420,11642,11914,12772,12103,9775,7554,4510,2792,2432,198181,11245,12295,13227,15363,14980,11039,12121,12377,11761,11836,12373,13378,13074,10652,8500,5731,3967,4262,37.4,36.2,38.6,299100,34704,1481,15730,494,13495,25353,71492,153741,8582,145159,97811,47348
0500000US39019,"Carroll County, Ohio",26721,13380,695,750,917,846,663,642,679,677,746,861,889,1096,1086,1034,790,512,291,206,13341,668,699,804,810,634,624,695,654,758,838,855,1091,1122,1008,816,577,361,327,46.2,45.5,46.9,25307,122,77,52,4,135,1024,5807,13395,2330,11065,8637,2428
0500000US39021,"Champaign County, Ohio",38714,19227,1106,1187,1393,1297,991,1112,1091,1093,1097,1228,1362,1494,1370,1125,927,699,396,259,19487,1054,1106,1338,1205,978,1079,1072,1084,1082,1204,1327,1433,1464,1212,1111,764,522,452,42.6,41.6,43.7,35615,688,91,129,7,238,1946,7920,16862,1224,15638,11680,3958
0500000US39023,"Clark County, Ohio",136001,66142,3932,4216,4653,4498,3957,3749,3781,3798,3643,3947,4328,4803,4585,4110,3324,2272,1419,1127,69859,3787,4083,4360,4278,3840,3915,3987,4021,3852,4041,4459,4871,4924,4632,4002,2681,1935,2191,42,40.6,43.3,111088,12200,419,902,93,2635,8664,24038,60987,5143,55844,36998,18846
