StateAbbreviation,GeographyName,Geography,Agency,BMPShortName,BMP,BMPType,Unit,Sector,FromLoadSource,ToLoadSource,AmountSubmitted,AmountBackedOut,AmountNotBackedOut,AmountCredited,Excess,TotalAmountCredited,Cost
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,Non-Regulated Roads,Non-Regulated Roads,8.709123261,0,8.709123261,8.709123261,0,8.709123261,11462.07712
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,Non-Regulated Buildings and Other,Non-Regulated Buildings and Other,47.98417115,0,47.98417115,47.98417115,0,47.98417115,63151.96765
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Impervious,Non-Regulated Tree Canopy over Impervious,1.358309392,0,1.358309392,1.358309392,0,1.358309392,1787.670991
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,Non-Regulated Tree Canopy over Turf Grass,Non-Regulated Tree Canopy over Turf Grass,6.766266601,0,6.766266601,6.766266601,0,6.766266601,8905.083474
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,Non-Regulated Turf Grass,Non-Regulated Turf Grass,22.02467111,0,22.02467111,22.02467111,0,22.02467111,28986.66965
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,MS4 Roads,MS4 Roads,1.484929425,0,1.484929425,1.484929425,0,1.484929425,1954.315616
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,MS4 Buildings and Other,MS4 Buildings and Other,3.045323984,0,3.045323984,3.045323984,0,3.045323984,4007.950896
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Impervious,MS4 Tree Canopy over Impervious,0.096066036,0,0.096066036,0.096066036,0,0.096066036,126.4325103
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,MS4 Tree Canopy over Turf Grass,MS4 Tree Canopy over Turf Grass,0.43954405,0,0.43954405,0.43954405,0,0.43954405,578.4839242
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,MS4 Turf Grass,MS4 Turf Grass,1.454675929,0,1.454675929,1.454675929,0,1.454675929,1914.49899
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,CSS Roads,CSS Roads,0.702988772,0,0.702988772,0.702988772,0,0.702988772,925.203523
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,CSS Buildings and Other,CSS Buildings and Other,3.799477772,0,3.799477772,3.799477772,0,3.799477772,5000.492696
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,CSS Tree Canopy over Impervious,CSS Tree Canopy over Impervious,0.244076428,0,0.244076428,0.244076428,0,0.244076428,321.2289872
DC,11001(cbwsonly),"Washington, DC (CBWS Portion Only)",Department of Defense,wetpondwetland,Wet Ponds and Wetlands,Efficiency,Acres Treated,Developed,CSS Tree Canopy over Turf Grass,CSS Tree Canopy over Turf Grass,1.020318476,0,1.020318476,1.020318476,0,1.020318476,1342.841147
